id,created_at,text
1337117900013006849,2020-12-10 19:32:04,this might be the most important btc news of an insurance company buys bitcoin for its general account t
1333389356925587456,2020-11-30 12:36:10,trading advice from kenny rogers its one of those times to hold em btc eth the gambler via
1329807339948564480,2020-11-20 15:22:31,when you have decided to hodl the stress of the market melts away btc and eth going much higher try hodling
1325200424790609920,2020-11-07 22:16:16,i won an election bet with btc i am going to have a lottery for young bitcoiners for that coi
1315381688751529984,2020-10-11 20:00:07,this might knock bitcoin please go to moon off the top of the bitcoin charts
1311460168585093127,2020-10-01 00:17:24,i got into crypto and btc because i saw it as a revolution it is systems change its the same reason i spend t
1311456532521984002,2020-10-01 00:02:57,crypto blockchain bitcoin and defi are having a momentthe herd is coming
1306555577351450624,2020-09-17 11:28:18,i have said outside of bitcoin everything is a giant venture sandbox so bets should be scaled ap
1301295150312960003,2020-09-02 23:05:15,chinese artist made
1301259911033171970,2020-09-02 20:45:13,im not brushing it off it all but didnt really have time to explain to an audience that is just getting bitcoin
1301125275380527104,2020-09-02 11:50:14,btc reminding us that there is no free lunch who is selling
1285564606174371844,2020-07-21 13:17:41,lets go btclets go btc
1276605554937475077,2020-06-26 19:57:37,someone stealing my line love gold but not as much as btc
1261352012903354371,2020-05-15 17:45:29,question is btc being open a strength or at times a weakness think before you screech what is liquidit
1259933982180990976,2020-05-11 19:50:44,will be on with at pm to talk markets corona and btc probably my last appeara
1258530145503076355,2020-05-07 22:52:23,exciting day for btc i want to point out that we arent even at the years highs this rally is just starting dont miss the bus
1256232724488167433,2020-05-01 14:43:15,i love bitcoin go to moonha google ityou will see why
1256050527252688903,2020-05-01 02:39:16,heres a link to the webinar i gave tuesday go btc
1255820643897131008,2020-04-30 11:25:48,money in essence growing on trees secret the fed and the treasury really are the same team buy btc buy gol
1255808293349609472,2020-04-30 10:36:43,telegram should enable btc and stable coins on their platform we dont need another blockchain we dont need a
1255801488657518593,2020-04-30 10:09:41,buy gold buy btc
1255556366707699713,2020-04-29 17:55:39,thanks for all the people on our btc webinar yesterday i guess everyone listened
1254591189803827200,2020-04-27 02:00:23,wow you guys are so literal was trying to be a little cheeky i am a bitcoin believer i ow
1254428976057069568,2020-04-26 15:15:48,great question
1248283543668756482,2020-04-09 16:16:03,have a giant heart today and buy btc
1247123946677383173,2020-04-06 11:28:13,give it a few months ill make a bet for dinner anywhere in nyc that bitcoin outperforms both o
1245790013876568065,2020-04-02 19:07:39,talking btc markets and testing
1241823507954249728,2020-03-22 20:26:10,btc will continue to be volatile over the next few months but the macro backdrop is why it was created this will
1241487766027993095,2020-03-21 22:12:03,i absolutely believe in the virus i also believe that we will beat it
1240247352906207234,2020-03-18 12:03:06,a major bank making the btc case
1238619191072169984,2020-03-14 00:13:22,such a tough week for btc decided we need some positive energy bitcoin pls go to moon hr via
1238277980213870604,2020-03-13 01:37:31,btc was always a confidence game all crypto is and it appears global confidence in just about anything has ev
1234133971400904704,2020-03-01 15:10:42,how did btc go from being a hedge against bad stuff to getting washed out and trading like a risk asset when thin
1228435094957961217,2020-02-14 21:45:24,btc like gold is a social construct that is where it gets its value
1228295973421666304,2020-02-14 12:32:35,does btc know its valentines day
1224471583722496000,2020-02-03 23:15:49,stinking thinking buy btc seriously this article is about the best case one could make to buy gold and b
1224350086156767232,2020-02-03 15:13:02,btc vs tsla wow
1223777662541410304,2020-02-02 01:18:26,buy btc wear diamonds
1223017897020227584,2020-01-30 22:59:23,im sticking with btc but i think you are right on whats happening too much liquidity
1217002146815709185,2020-01-14 08:34:57,its my barbell btc and
1213838431232626690,2020-01-05 15:03:28,the more i analyze this iranian situation the more bullish gold and btc i become
1213072185188913155,2020-01-03 12:18:41,nice to seebtc react to global uncertainty digitalgold
1210967044369342465,2019-12-28 16:53:36,if satoshis block ever gets sold down even a tiny bit bitcoin will not do well part of the m
1210888450460864512,2019-12-28 11:41:18,prediction loses by more than mm votes btc finishes over k
1209616310138785797,2019-12-24 23:26:16,merry xmas to all my twitter peeps i hope you all find btc in your stockings and yes elf is on my top
1192049864533827584,2019-11-06 12:03:29,is on point in this essay makes me want to own more hard assets long btc long gold also to borro
1189176806319878144,2019-10-29 13:46:59,had a great dinner with some west coast fintech pals learned something new about btc had never heard this angle
1187359368238567425,2019-10-24 13:25:08,libra and telegram would be great for the crypto ecosystem and bullish btc
1187005727547822080,2019-10-23 13:59:53,i like long gold and long btc btc will be a lot more volatile but same macro should drive both
1183518503158145025,2019-10-13 23:02:54,i agree with makes even stronger case for btc i also think libra will be fine rumors of
1183141388160061441,2019-10-12 22:04:23,yes lots of btc
1172238562785411072,2019-09-12 20:00:27,and team galaxy ncaa titles and a lot of btc talk
1169796573682909186,2019-09-06 02:16:51,listening to the blues with an lookalike go btc
1166785691210133504,2019-08-28 18:52:41,talking btc and crypto in canada
1165773203396071425,2019-08-25 23:49:25,at the talkhouse best bar in america summerofmusic and they love btc
1158885642077708288,2019-08-06 23:40:42,i have to say its a catchy tune that said i still think btc will outpace ltc
1158536688865546241,2019-08-06 00:34:05,lucas nelson at metlife opening for the stones im almost a groupie go btc as long as you keep going up ill
1152550697503723520,2019-07-20 12:07:54,i can also sell you some if you dont like btc no one forcing you to buy anything
1152544675888357376,2019-07-20 11:43:58,if btc goes to it is game over it wont its already established itself as a store of value stop wasti
1144261345094918144,2019-06-27 15:08:58,i dont think people will use btc to buy and sell stuff in lar
1143487064752709632,2019-06-25 11:52:15,the hardest part of a market in trend is to just sit my pal calls it the pain of the gain gold and btc are
1139358233276145669,2019-06-14 02:25:45,my guess is in less than two years the big card companies will accept btc global coin and a bunch more
1139349259311112193,2019-06-14 01:50:06,because it credentializes crypto its a stableish coin where bitcoin is more a store of value p
1130122847643459589,2019-05-19 14:47:38,not this time market getting smarter btc will outperform
1118532240387006466,2019-04-17 15:10:42,i am more and more bullish btc and our whole space ill make the case at the and then at
1102047286513860609,2019-03-03 03:25:22,ill bet you a btc
1094222682953003008,2019-02-09 13:13:11,dont understand why all the big macro funds out there dont have a percent position in btc just seems logical
1024426491461943296,2018-07-31 22:48:03,i dont see btc dominance pulling back any time soon lots of cool institutional projects coming and most will st
994239232016297984,2018-05-09 15:34:39,rt tune in to s markets now today at pm et to see blackrock chief equity strategist kate moore and bitcoin bull
993966690210910212,2018-05-08 21:31:40,it was trillion where do you get but i get the point
946991247763181568,2017-12-30 06:28:02,actually ripple is valued at more than bitcoin you are just looking at free float its not the r
939967960420110339,2017-12-10 21:20:00,i agree scalability will be solved my only point was that bitcoin can go higher in adv
938980548713820160,2017-12-08 03:56:22,my bitcoin best is getting more expensive where r u
938127426248421376,2017-12-05 19:26:22,rt hedge fund manager novogratz worried surging bitcoin price may attract government regulation
936643610799460357,2017-12-01 17:10:13,rt cme says its launching bitcoin futures on dec
936401634812465153,2017-12-01 01:08:41,rt bitconnect really seems like a scam an old school ponzi bad actors hurt the community period bitcoin ether
936379584962064384,2017-11-30 23:41:04,btc eth
936351253457760257,2017-11-30 21:48:30,billionaire bitcoin investor mike novogratz we sold some bitcoin in a frenzy
936332924726726657,2017-11-30 20:35:40,about to go on of fox white house press conference asked about bitcoin
936289332289208320,2017-11-30 17:42:26,bitconnect really seems like a scam an old school ponzi bad actors hurt the community period bitcoin ether
934779213252562949,2017-11-26 13:41:46,bitcoin over k and eth over is a pretty nice way to wake up on my birthday
934224796375805952,2017-11-25 00:58:43,id bet bitcoin that can take george st piere where are you check your damn ego and book this fight
931241702265892864,2017-11-16 19:24:58,everyday your short bitcoin is a painful one
931223518905290752,2017-11-16 18:12:42,fun talk about crypto and politics thanks breaking news bitcoin reuterssummit breakingnews
930635716496904192,2017-11-15 03:16:59,big news looks like square is adding a function to buy and sell btc the herd is coming bitcoin
930227337127440384,2017-11-14 00:14:14,big money is coming to bitcoin exfortress executive novogratz
930204961039880193,2017-11-13 22:45:19,rt institutional investors close to adopting bitcoin says exfortress executive novogratz
923053335459930112,2017-10-25 05:07:19,andre says he loves wrestling and bitcoin
917865989286572034,2017-10-10 21:34:39,rt i see bitcoin soaring to over k in next months btc
917865966687617026,2017-10-10 21:34:34,rt just how high could bitcoin go hedge fund legend says btc will soar to over k in the next to month
